age,banking_seniority_years,client_status_is_new,interaction_frequency_rare,dependents_count,has_spouse,spouse_income,is_married,is_employed_cdi,is_unemployed,job_seniority_years,job_stability_high,job_stability_low,monthly_income,monthly_expenses,existing_debt,debt_monthly_payment,debt_ratio,available_savings,has_banking_incidents,major_banking_incidents,amount_requested,duration_months,is_real_estate,is_investment,is_comfort_expense,stress_level,urgency_level,project_clarity,engagement_level,low_coherence,external_pressure,short_term_only,risk_professional_instability,risk_high_debt,risk_spouse_dependency,risk_non_priority,risk_excessive_urgency,risk_incoherent,total_risk_flags,global_risk_high,repayment_capacity_insufficient,expense_ratio,credit_to_income_ratio,default
23,1.6,0,0,3,0,0.0,0,1,0,1.6,0,1,5005.57,4148.23,0.0,0.0,0.0,55.28,0,0,8726.1,72,1,0,0,1,5,2,5,0,0,1,1,0,0,0,1,0,2,0,0,0.829,0.145,0
34,2.2,0,1,0,0,0.0,0,0,0,0.4,0,1,3163.94,2060.12,0.0,0.0,0.0,12355.83,0,0,7576.46,24,1,0,0,2,4,4,3,0,0,0,1,0,0,0,0,0,1,0,0,0.651,0.2,0
41,3.4,0,0,1,1,2472.01,1,0,0,2.9,0,0,3416.64,1919.22,40371.96,890.32,0.261,1588.27,0,0,2747.07,72,0,1,0,4,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.562,0.067,0
37,9.5,0,0,1,0,0.0,0,0,1,0.0,0,1,885.92,702.36,0.0,0.0,0.0,12354.33,0,0,5803.12,48,0,1,1,5,2,4,3,0,0,0,1,0,0,1,0,0,2,0,0,0.793,0.546,0
41,1.3,0,0,0,1,2130.18,1,1,0,6.5,1,0,2813.13,1580.55,17300.12,411.49,0.146,10856.81,0,0,3457.2,24,0,1,0,5,5,2,3,1,1,1,0,0,0,0,1,1,2,0,0,0.562,0.102,0
39,4.3,0,0,1,0,0.0,0,1,0,3.7,0,0,2444.78,1814.98,0.0,0.0,0.0,3149.09,0,0,7070.25,36,0,1,0,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.742,0.241,0
48,1.5,0,0,4,1,3165.23,1,0,1,0.0,0,1,841.52,1724.27,0.0,0.0,0.0,2567.31,0,0,8058.74,12,0,0,0,2,3,5,5,0,0,0,1,0,1,0,0,0,2,0,0,2.049,0.798,1
33,3.7,0,0,2,0,0.0,0,1,0,3.4,0,0,5235.67,3868.95,0.0,0.0,0.0,11265.24,0,0,2884.91,36,0,0,0,3,1,2,4,1,0,1,0,0,0,0,0,1,1,0,0,0.739,0.046,0
41,1.7,0,0,0,1,2683.72,1,1,0,3.8,0,0,3907.49,2232.73,28101.39,525.3,0.134,6619.6,0,0,5057.95,60,0,0,0,5,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.571,0.108,0
28,10.7,0,1,1,1,2975.5,1,1,0,8.6,1,0,3229.63,1592.94,0.0,0.0,0.0,7065.98,0,0,4350.4,24,0,0,0,2,4,5,3,1,0,0,0,0,0,0,0,1,1,0,0,0.493,0.112,0
39,9.2,0,0,0,1,2236.07,1,0,0,1.0,0,1,2392.34,1465.48,0.0,0.0,0.0,298.33,0,0,3031.99,60,1,0,0,3,3,4,5,0,0,0,1,0,0,0,0,0,1,0,0,0.613,0.106,1
34,8.5,0,0,0,0,0.0,0,1,0,14.4,1,0,4126.75,1777.22,27297.16,528.56,0.128,1771.78,0,0,2755.21,12,1,1,0,5,5,5,3,0,1,0,0,0,0,0,1,0,1,0,0,0.431,0.056,0
48,2.9,0,0,1,1,1875.76,1,0,0,6.3,1,0,2512.15,1728.97,0.0,0.0,0.0,3917.91,0,0,4328.93,36,0,0,0,4,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0.688,0.144,0
25,0.6,1,0,2,0,0.0,0,1,0,3.4,0,0,3128.1,2103.67,16897.37,499.18,0.16,58.44,0,0,2850.24,24,0,0,0,5,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0.673,0.076,1
28,1.4,0,1,0,1,2461.83,1,1,0,6.1,1,0,2779.04,1383.79,0.0,0.0,0.0,459.84,0,0,5021.62,12,0,0,0,2,2,2,2,1,0,1,0,0,0,0,0,1,1,0,0,0.498,0.151,0
42,4.8,0,1,1,1,3204.24,1,0,0,4.9,0,0,2414.45,1616.65,28544.07,701.69,0.291,7658.51,0,0,13994.08,12,0,0,1,4,4,5,1,0,1,0,0,0,0,1,0,0,1,0,0,0.67,0.483,0
46,5.4,0,0,2,1,2041.04,1,1,0,28.0,1,0,3038.0,1997.06,5465.52,405.72,0.134,1489.89,0,0,5410.11,60,1,0,0,4,4,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.657,0.148,0
70,0.1,1,0,2,1,2829.77,1,0,0,5.3,1,0,978.22,1127.99,13318.02,270.43,0.276,2598.58,0,0,1423.65,36,0,0,0,5,1,4,5,0,0,0,0,0,1,0,0,0,1,0,0,1.153,0.121,0
53,0.9,1,0,4,0,0.0,0,0,0,2.0,0,1,800.0,1705.63,0.0,0.0,0.0,17503.05,0,0,5226.29,24,1,0,0,3,4,1,1,1,0,1,1,0,0,0,0,1,2,0,0,2.132,0.544,0
24,0.2,1,1,2,1,2805.55,1,1,0,10.1,1,0,3430.04,2183.83,0.0,0.0,0.0,1571.84,0,0,8796.45,12,0,0,1,5,1,1,3,1,0,1,0,0,0,1,0,1,2,0,0,0.637,0.214,0
40,21.6,0,1,0,1,3233.06,1,1,0,3.6,0,0,3346.49,1829.37,8703.26,647.63,0.194,1840.34,0,0,8024.22,84,0,0,0,5,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0.547,0.2,0
27,1.4,0,1,3,1,2658.63,1,0,0,4.6,0,0,1792.32,2122.83,34014.63,856.69,0.478,2142.95,0,0,1351.84,60,1,0,0,1,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1.184,0.063,0
51,5.5,0,1,2,1,3531.81,1,1,0,3.9,0,0,2738.6,1700.17,0.0,0.0,0.0,2282.17,0,0,2420.84,36,0,0,0,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0.621,0.074,0
58,3.9,0,1,3,1,2571.69,1,1,0,3.2,0,0,1818.61,1842.6,0.0,0.0,0.0,6869.37,0,0,14115.26,36,1,0,1,4,3,3,4,0,0,0,0,0,0,1,0,0,1,0,0,1.013,0.647,0
41,0.5,1,0,1,0,0.0,0,1,0,8.1,1,0,1087.9,934.35,15085.95,473.65,0.435,649.89,0,0,6751.17,48,0,0,1,1,2,5,2,0,0,0,0,0,0,1,0,0,1,0,0,0.859,0.517,0
45,0.6,1,0,2,1,678.47,1,1,0,7.9,1,0,1940.61,1586.28,38957.35,1006.17,0.518,1476.19,0,0,7201.49,48,1,0,1,3,4,2,1,0,0,1,0,1,0,1,0,0,2,0,0,0.817,0.309,1
46,3.2,0,0,0,0,0.0,0,1,0,1.2,0,1,2639.49,1560.96,0.0,0.0,0.0,4998.57,0,0,3470.8,36,0,0,0,1,1,3,4,0,0,0,1,0,0,0,0,0,1,0,0,0.591,0.11,0
31,2.1,0,1,2,0,0.0,0,1,0,4.5,0,0,1312.75,1260.4,23235.68,447.45,0.341,5537.3,0,0,1803.53,36,0,0,0,4,5,2,3,1,1,1,0,0,0,0,1,1,2,0,0,0.96,0.114,0
22,4.0,0,0,1,1,1436.29,1,1,0,16.3,1,0,4311.21,2244.97,0.0,0.0,0.0,2746.87,0,0,8565.73,12,0,1,0,5,4,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0.521,0.166,0
49,0.5,1,0,2,1,1575.86,1,1,0,3.5,0,0,2709.19,1961.38,0.0,0.0,0.0,2125.7,0,0,3546.59,36,1,0,1,2,3,3,4,0,0,0,0,0,0,1,0,0,1,0,0,0.724,0.109,0
34,10.5,0,1,3,1,3433.04,1,1,0,0.4,0,1,1812.09,2002.63,0.0,0.0,0.0,18567.95,0,0,3705.55,60,0,1,1,1,5,4,3,0,0,0,1,0,1,1,1,0,4,1,0,1.105,0.17,0
30,3.3,0,0,0,0,0.0,0,0,0,0.7,0,1,2281.24,1319.21,44053.05,1739.02,0.762,9534.12,0,0,5111.47,24,0,0,0,1,2,3,2,1,0,0,1,1,0,0,0,1,3,1,1,0.578,0.187,0
37,19.2,0,0,0,0,0.0,0,1,0,0.5,0,1,2611.82,1443.89,41070.57,988.92,0.379,1828.24,0,0,5632.64,36,0,0,1,5,3,3,4,0,0,0,1,0,0,1,0,0,2,0,0,0.553,0.18,0
45,1.4,0,0,1,1,2418.55,1,1,0,5.7,1,0,3457.54,2018.57,32206.34,1494.83,0.432,333.99,0,0,1891.49,24,0,0,0,5,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0.584,0.046,0
18,0.0,1,0,2,1,2144.04,1,0,1,0.0,0,1,666.19,1004.0,0.0,0.0,0.0,1469.65,0,0,11292.84,12,1,0,0,2,3,1,1,1,0,1,1,0,1,0,0,1,3,1,0,1.507,1.413,1
45,3.6,0,1,0,0,0.0,0,0,0,0.4,0,1,1457.83,614.3,0.0,0.0,0.0,15675.13,0,0,1672.87,24,1,0,0,3,2,5,5,0,0,0,1,0,0,0,0,0,1,0,0,0.421,0.096,0
28,1.5,0,0,0,1,3296.84,1,1,0,2.4,0,0,2243.2,1035.7,0.0,0.0,0.0,4772.73,0,0,7077.74,12,1,0,0,2,5,5,4,1,0,0,0,0,0,0,1,1,2,0,0,0.462,0.263,0
65,0.6,1,0,0,0,0.0,0,1,0,2.5,0,0,2488.55,1688.47,25810.3,2046.76,0.822,24408.18,0,0,2674.93,24,1,0,0,5,5,5,4,1,1,0,0,1,0,0,1,1,3,1,1,0.678,0.09,1
30,3.9,0,1,0,1,3227.47,1,1,0,16.8,1,0,1803.9,906.85,0.0,0.0,0.0,7097.91,0,0,4760.98,36,0,0,0,4,1,5,2,0,0,0,0,0,1,0,0,0,1,0,0,0.503,0.22,0
46,1.6,0,0,3,1,2773.3,1,1,0,6.8,1,0,3433.12,2981.72,0.0,0.0,0.0,3868.49,0,0,12703.53,60,1,0,0,1,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.869,0.308,0
38,3.5,0,0,1,1,3477.6,1,0,0,1.2,0,1,2315.13,1227.36,0.0,0.0,0.0,147.51,0,0,2440.55,24,0,0,1,5,3,5,2,0,0,0,1,0,1,1,0,0,3,1,0,0.53,0.088,0
59,8.2,0,0,3,1,3265.15,1,1,0,0.3,0,1,4115.9,3420.18,26828.91,809.82,0.197,797.63,0,0,2923.65,36,0,0,0,3,3,1,4,0,0,1,1,0,0,0,0,0,1,0,0,0.831,0.059,0
39,1.0,1,1,4,1,4316.69,1,0,0,15.0,1,0,2243.02,2756.42,0.0,0.0,0.0,6024.07,0,0,1633.77,36,0,1,1,3,2,3,2,0,0,0,0,0,1,1,0,0,2,0,0,1.229,0.061,0
46,3.1,0,0,0,0,0.0,0,0,0,3.4,0,0,1573.84,835.8,38744.62,1973.99,1.254,4710.93,0,0,9071.24,84,0,0,0,4,3,4,2,0,0,0,0,1,0,0,0,0,1,0,1,0.531,0.48,0
54,3.0,0,1,0,1,560.61,1,1,0,11.5,1,0,3884.05,1579.05,48242.93,1240.56,0.319,13809.03,0,0,1408.05,48,1,0,0,2,5,1,3,0,0,1,0,0,0,0,1,0,1,0,0,0.407,0.03,0
33,15.7,0,0,0,1,1841.51,1,0,0,3.9,0,0,1868.66,1297.14,0.0,0.0,0.0,2587.39,0,0,5951.79,36,0,0,0,5,2,1,2,1,0,1,0,0,0,0,0,1,1,0,0,0.694,0.265,0
57,3.1,0,1,1,1,2258.03,1,0,1,0.0,0,1,637.01,706.54,0.0,0.0,0.0,2075.89,0,0,17434.91,48,0,0,0,4,4,3,5,0,1,0,1,0,1,0,0,0,2,0,0,1.109,2.281,0
43,7.4,0,0,0,1,2566.68,1,1,0,0.6,0,1,3881.28,2317.26,20260.16,411.55,0.106,16687.83,0,0,1136.13,48,0,0,1,2,2,4,4,0,0,0,1,0,0,1,0,0,2,0,0,0.597,0.024,0
42,4.8,0,0,3,0,0.0,0,1,0,4.6,0,0,2905.9,2701.05,17031.78,338.39,0.116,17172.1,0,0,3798.22,12,1,0,1,5,5,5,5,0,1,0,0,0,0,1,1,0,2,0,0,0.93,0.109,0
44,0.5,1,0,3,0,0.0,0,1,0,18.1,1,0,2227.63,2016.16,0.0,0.0,0.0,12517.88,0,0,6132.56,24,0,0,1,2,5,4,2,1,0,0,0,0,0,1,1,1,3,1,0,0.905,0.229,0
48,0.8,1,0,1,1,3473.73,1,1,0,9.2,1,0,4521.32,2747.78,32438.82,1796.1,0.397,5637.8,0,0,3389.05,24,1,0,1,3,4,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0.608,0.062,0
42,0.4,1,1,1,1,2341.01,1,0,0,0.3,0,1,2240.12,1800.11,43962.88,3660.81,1.634,926.12,0,0,1718.26,24,0,0,1,3,4,1,1,0,0,1,1,1,0,1,0,0,3,1,1,0.804,0.064,1
33,15.0,0,0,2,1,2932.7,1,0,0,20.0,1,0,2707.8,2187.86,0.0,0.0,0.0,4947.51,0,0,2640.74,24,0,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0.808,0.081,0
65,1.3,0,1,2,0,0.0,0,0,0,10.5,1,0,1041.52,1325.63,27503.19,526.57,0.506,1679.39,0,0,1774.85,24,1,0,0,4,5,3,4,1,1,0,0,1,0,0,1,1,3,1,0,1.273,0.142,1
43,8.8,0,1,2,1,3013.54,1,1,0,1.9,0,1,4474.06,3197.53,23282.24,565.92,0.126,4988.96,0,0,3708.53,48,0,0,0,4,5,3,4,0,1,0,1,0,0,0,1,0,2,0,0,0.715,0.069,0
40,5.0,0,0,1,0,0.0,0,1,0,0.2,0,1,4695.05,2375.25,0.0,0.0,0.0,17794.99,0,0,1595.51,36,0,0,0,1,1,3,4,1,0,0,1,0,0,0,0,1,2,0,0,0.506,0.028,0
39,8.1,0,0,2,0,0.0,0,0,0,2.5,0,0,2170.56,1542.35,0.0,0.0,0.0,3540.41,0,0,2693.04,36,1,1,0,5,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0.711,0.103,0
49,1.9,0,1,4,1,3725.06,1,1,0,5.1,1,0,3144.87,3105.72,0.0,0.0,0.0,2421.23,0,0,3005.45,24,0,0,1,1,4,2,3,0,0,1,0,0,0,1,0,0,1,0,0,0.988,0.08,0
54,2.2,0,0,0,1,3425.68,1,0,0,4.7,0,0,2305.23,1005.47,5189.3,137.9,0.06,766.56,0,0,8178.61,36,0,0,0,2,5,5,1,0,0,0,0,0,0,0,1,0,1,0,0,0.436,0.296,0
52,2.6,0,0,2,1,2231.68,1,1,0,1.3,0,1,2071.02,1788.31,6745.93,123.32,0.06,61.93,0,0,1000.0,12,0,0,0,4,5,4,5,0,1,0,1,0,0,0,1,0,2,0,0,0.863,0.04,0
55,2.1,0,0,1,0,0.0,0,0,0,4.7,0,0,3116.55,1887.5,0.0,0.0,0.0,22129.25,0,0,2571.69,36,0,0,1,4,2,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0.606,0.069,0
45,0.1,1,1,1,0,0.0,0,0,0,0.6,0,1,1925.25,1583.22,41681.95,703.7,0.366,1701.23,1,0,5902.82,24,0,0,0,1,5,2,5,0,0,1,1,0,0,0,1,0,2,0,0,0.822,0.255,0
18,0.4,1,0,0,0,0.0,0,1,0,17.0,1,0,2457.33,1394.07,0.0,0.0,0.0,4343.07,0,0,25829.33,36,0,1,1,1,2,3,5,0,0,0,0,0,0,1,0,0,1,0,0,0.567,0.876,0
28,9.6,0,1,3,0,0.0,0,1,0,4.6,0,0,2405.39,1889.57,28367.48,1920.41,0.798,5709.0,0,0,1000.0,12,1,1,0,4,4,4,2,0,1,0,0,1,0,0,0,0,1,0,1,0.786,0.035,0
18,0.2,1,1,1,1,4049.11,1,0,0,3.0,0,0,3688.28,2429.7,24871.2,415.81,0.113,306.57,0,0,1929.79,36,0,0,0,3,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.659,0.044,0
50,13.2,0,0,3,1,3131.31,1,1,0,5.2,1,0,2471.72,2432.26,0.0,0.0,0.0,7884.71,1,1,11062.14,84,0,0,0,4,1,5,1,1,0,0,0,0,0,0,0,1,1,0,0,0.984,0.373,1
42,6.0,0,0,1,1,2616.19,1,1,0,5.8,1,0,5109.44,3228.29,2292.26,136.08,0.027,10160.66,0,0,9206.64,12,1,0,0,2,2,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0.632,0.15,0
36,1.7,0,0,1,0,0.0,0,1,0,9.2,1,0,4027.7,2574.42,0.0,0.0,0.0,171.25,0,0,16074.52,24,1,1,0,4,4,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0.639,0.333,0
34,8.6,0,1,2,1,2813.93,1,1,0,3.4,0,0,2491.04,1808.86,0.0,0.0,0.0,4965.29,0,0,2545.45,12,0,0,0,1,2,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0.726,0.085,0
53,13.4,0,1,0,1,2666.12,1,0,0,14.3,1,0,2847.95,1500.06,0.0,0.0,0.0,13769.51,0,0,8870.3,60,0,0,0,3,5,5,1,0,0,0,0,0,0,0,1,0,1,0,0,0.527,0.26,0
41,5.6,0,1,1,1,2497.19,1,1,0,10.0,1,0,2030.0,1401.86,0.0,0.0,0.0,5031.41,0,0,5860.17,36,1,0,1,1,4,5,5,1,0,0,0,0,0,1,0,1,2,0,0,0.691,0.241,0
24,6.1,0,0,2,1,2610.64,1,1,0,4.3,0,0,2660.09,1732.14,0.0,0.0,0.0,5496.06,0,0,5907.03,12,0,0,1,2,1,4,2,1,0,0,0,0,0,1,0,1,2,0,0,0.651,0.185,0
57,2.0,0,1,1,1,3629.5,1,1,0,1.6,0,1,2449.09,1441.13,0.0,0.0,0.0,9729.09,0,0,4215.97,24,0,0,0,1,1,2,4,0,0,1,1,0,0,0,0,0,1,0,0,0.588,0.143,0
31,4.2,0,1,2,1,2915.89,1,0,0,4.7,0,0,3554.88,2332.45,0.0,0.0,0.0,826.31,0,0,6308.52,36,0,0,0,4,2,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0.656,0.148,0
